id,location_id,village_id,source_year,population,households,male_population,female_population,workers,main_workers,marginal_workers,literacy_rate,sc_population,other_available_indicators,source_id,confidence,data_status
DEMO-035245-2011,LOC-VIL-035245,VIL-PB-035245,2011,2323,420,1227,1096,889,835,54,53.59,1253,"{""agricultural_laborers"": 446, ""cultivators"": 158, ""household_industry_workers"": 54, ""other_workers"": 177, ""children_0_6"": 297, ""non_working_population"": 1434, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 38}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035246-2011,LOC-VIL-035246,VIL-PB-035246,2011,2499,467,1299,1200,845,815,30,59.66,919,"{""agricultural_laborers"": 293, ""cultivators"": 453, ""household_industry_workers"": 6, ""other_workers"": 63, ""children_0_6"": 282, ""non_working_population"": 1654, ""marginal_cultivators"": 14, ""marginal_agri_labourers"": 10}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035247-2011,LOC-VIL-035247,VIL-PB-035247,2011,2355,463,1246,1109,898,749,149,59.32,1245,"{""agricultural_laborers"": 249, ""cultivators"": 188, ""household_industry_workers"": 11, ""other_workers"": 301, ""children_0_6"": 303, ""non_working_population"": 1457, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 145}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035248-2011,LOC-VIL-035248,VIL-PB-035248,2011,1846,341,973,873,616,616,0,57.85,552,"{""agricultural_laborers"": 190, ""cultivators"": 225, ""household_industry_workers"": 0, ""other_workers"": 201, ""children_0_6"": 223, ""non_working_population"": 1230, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035249-2011,LOC-VIL-035249,VIL-PB-035249,2011,1596,311,852,744,731,693,38,56.39,443,"{""agricultural_laborers"": 77, ""cultivators"": 560, ""household_industry_workers"": 15, ""other_workers"": 41, ""children_0_6"": 152, ""non_working_population"": 865, ""marginal_cultivators"": 9, ""marginal_agri_labourers"": 19}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035250-2011,LOC-VIL-035250,VIL-PB-035250,2011,5597,949,2954,2643,1966,1739,227,59.05,2194,"{""agricultural_laborers"": 621, ""cultivators"": 840, ""household_industry_workers"": 18, ""other_workers"": 260, ""children_0_6"": 636, ""non_working_population"": 3631, ""marginal_cultivators"": 23, ""marginal_agri_labourers"": 132}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035251-2011,LOC-VIL-035251,VIL-PB-035251,2011,2041,354,1074,967,704,617,87,58.99,1269,"{""agricultural_laborers"": 303, ""cultivators"": 163, ""household_industry_workers"": 6, ""other_workers"": 145, ""children_0_6"": 232, ""non_working_population"": 1337, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 61}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035252-2011,LOC-VIL-035252,VIL-PB-035252,2011,5254,1027,2746,2508,1929,1685,244,54.51,2891,"{""agricultural_laborers"": 938, ""cultivators"": 478, ""household_industry_workers"": 23, ""other_workers"": 246, ""children_0_6"": 640, ""non_working_population"": 3325, ""marginal_cultivators"": 15, ""marginal_agri_labourers"": 187}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035253-2011,LOC-VIL-035253,VIL-PB-035253,2011,1609,319,860,749,709,540,169,59.48,301,"{""agricultural_laborers"": 105, ""cultivators"": 319, ""household_industry_workers"": 2, ""other_workers"": 114, ""children_0_6"": 191, ""non_working_population"": 900, ""marginal_cultivators"": 135, ""marginal_agri_labourers"": 7}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035254-2011,LOC-VIL-035254,VIL-PB-035254,2011,3401,637,1795,1606,1161,884,277,57.25,1387,"{""agricultural_laborers"": 268, ""cultivators"": 485, ""household_industry_workers"": 4, ""other_workers"": 127, ""children_0_6"": 436, ""non_working_population"": 2240, ""marginal_cultivators"": 12, ""marginal_agri_labourers"": 242}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035255-2011,LOC-VIL-035255,VIL-PB-035255,2011,3324,587,1749,1575,1171,1085,86,58.78,594,"{""agricultural_laborers"": 286, ""cultivators"": 635, ""household_industry_workers"": 26, ""other_workers"": 138, ""children_0_6"": 376, ""non_working_population"": 2153, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 22}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035256-2011,LOC-VIL-035256,VIL-PB-035256,2011,1468,277,791,677,680,621,59,62.26,783,"{""agricultural_laborers"": 351, ""cultivators"": 188, ""household_industry_workers"": 1, ""other_workers"": 81, ""children_0_6"": 172, ""non_working_population"": 788, ""marginal_cultivators"": 5, ""marginal_agri_labourers"": 51}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035257-2011,LOC-VIL-035257,VIL-PB-035257,2011,2032,400,1084,948,978,840,138,62.16,973,"{""agricultural_laborers"": 320, ""cultivators"": 247, ""household_industry_workers"": 2, ""other_workers"": 271, ""children_0_6"": 233, ""non_working_population"": 1054, ""marginal_cultivators"": 4, ""marginal_agri_labourers"": 101}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035258-2011,LOC-VIL-035258,VIL-PB-035258,2011,3188,623,1643,1545,1376,822,554,57.78,1842,"{""agricultural_laborers"": 305, ""cultivators"": 214, ""household_industry_workers"": 30, ""other_workers"": 273, ""children_0_6"": 350, ""non_working_population"": 1812, ""marginal_cultivators"": 63, ""marginal_agri_labourers"": 355}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035259-2011,LOC-VIL-035259,VIL-PB-035259,2011,3085,623,1657,1428,1102,961,141,58.06,1181,"{""agricultural_laborers"": 282, ""cultivators"": 471, ""household_industry_workers"": 8, ""other_workers"": 200, ""children_0_6"": 353, ""non_working_population"": 1983, ""marginal_cultivators"": 10, ""marginal_agri_labourers"": 90}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035260-2011,LOC-VIL-035260,VIL-PB-035260,2011,3061,559,1584,1477,1018,970,48,57.04,1515,"{""agricultural_laborers"": 478, ""cultivators"": 378, ""household_industry_workers"": 5, ""other_workers"": 109, ""children_0_6"": 350, ""non_working_population"": 2043, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 41}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035261-2011,LOC-VIL-035261,VIL-PB-035261,2011,2435,444,1254,1181,1043,609,434,48.75,1635,"{""agricultural_laborers"": 275, ""cultivators"": 204, ""household_industry_workers"": 27, ""other_workers"": 103, ""children_0_6"": 282, ""non_working_population"": 1392, ""marginal_cultivators"": 31, ""marginal_agri_labourers"": 347}",SRC-GOI-CENSUS-2011,0.99,official
